city,total_liters
INWOOD,6718.180000000001
PALO,6544.5
SIOUX RAPIDS,6517.96
ROCKWELL,6288.74
TRIPOLI,6280.349999999999
KINGSLEY,6261.259999999999
ALLISON,6248.98
MARCUS,6231.32
GOWRIE,6195.920000000001
BEDFORD,6161.669999999999
WELLMAN,6110.27
WAPELLO,6006.5
LE GRAND,5971.860000000001
MORAVIA,5952.500000000001
PAULLINA,5942.399999999999
ELKADER,5856.31
LAKE PARK,5707.14
LECLAIRE,5686.0
SUTHERLAND,5662.360000000001
STRAWBERRY POINT,5658.34
SANBORN,5645.830000000001
ALDEN,5583.69
URBANA,5505.499999999999
FREDERICKSBURG,5496.150000000001
CORRECTIONVILLE,5474.220000000002
EDDYVILLE,5440.18
CLARENCE,5331.76
LAMONI,5328.13
FAYETTE,5322.070000000001
DAYTON,5252.9400000000005
CONRAD,5195.7
ROBINS,5151.700000000001
SLOAN,5110.240000000002
LA PORTE CITY,5090.17
ADAIR,5062.89
OGDEN,4994.629999999999
PLEASANTVILLE,4950.16
STRATFORD,4949.590000000001
FAIRFAX,4894.349999999999
GREENE,4891.97
GRAETTINGER,4879.5
EDGEWOOD,4864.250000000001
RICEVILLE,4765.29
ARMSTRONG,4733.99
ATKINS,4658.620000000003
REINBECK,4581.85
HUBBARD,4513.870000000001
EARLHAM,4410.2300000000005
GLIDDEN,4388.38
GLADBROOK,4376.7699999999995
STATE CENTER,4322.78
ELLSWORTH,4319.410000000001
AMANA,4306.6900000000005
HARPERS FERRY,4287.59
ACKLEY,4280.040000000001
LUXEMBURG,4264.379999999999
ANITA,4215.7300000000005
DALLAS CENTER,4180.470000000001
NASHUA,4162.0199999999995
FORT ATKINSON,4155.37
HOLY CROSS,4126.6
AKRON,4110.89
LENOX,4070.6499999999996
VICTOR,4061.1199999999994
HULL,3966.55
SLATER,3894.4400000000005
WHEATLAND,3872.7500000000005
MANLY,3840.2999999999993
WELLSBURG,3794.530000000001
JEWELL,3785.1500000000005
DOON,3767.84
MITCHELLVILLE,3668.14
SIDNEY,3665.35
OKOBOJI,3636.35
SPRINGVILLE,3602.9900000000007
BALDWIN,3568.05
FAIRBANK,3558.72
DYSART,3541.5499999999993
EXIRA,3529.7500000000005
CUMMING,3523.7999999999993
JESUP,3517.9500000000003
WINTHROP,3516.9700000000003
MINDEN,3456.62
BEVINGTON,3451.9600000000005
RAYMOND,3417.100000000001
SHUEYVILLE,3412.44
MONTROSE,3386.52
GRAND MOUNDS,3383.47
BUFFALO,3382.4700000000003
CRESCENT,3354.8
TEMPLETON,3254.65
VAN HORNE,3241.79
ELY,3218.5099999999998
GRISWOLD,3209.7300000000005
MOVILLE,3200.0500000000006
ALTA,3151.05
WALL LAKE,3150.67
WASHBURN,3117.1900000000005
DELAWARE,3091.1500000000005
CLARKSVILLE,3045.0000000000005
WHITTEMORE,3039.1
NEW HARTFORD,3016.1500000000005
WALCOTT,3010.14
SAINT ANSGAR,2989.69
PRIMGHAR,2986.3699999999994
SHEFFIELD,2977.65
ANTHON,2934.9500000000007
NEW LONDON,2913.87
ST CHARLES,2909.9900000000007
SAGEVILLE,2883.09
CORWITH,2879.5
CLERMONT,2861.1200000000003
KEOTA,2838.2200000000003
COLO,2832.34
REDFIELD,2830.5000000000005
NORA SPRINGS,2826.5699999999997
SULLY,2815.9700000000007
BAXTER,2808.7499999999995
AFTON,2795.5699999999997
WHAT CHEER,2793.8
SWEA CITY,2775.0499999999997
ODEBOLT,2762.4700000000003
MARQUETTE,2762.3500000000004
GRANGER,2747.3000000000006
SHELBY,2739.25
OXFORD,2715.4300000000003
NEOLA,2697.4600000000005
WALFORD,2644.01
GOLDFIELD,2602.0
COGGON,2601.0
WINFIELD,2594.59
FARLEY,2593.2
FARMINGTON,2586.8
DEXTER,2573.3500000000004
ROLAND,2559.1200000000003
ZWINGLE,2551.3
KELLOGG,2547.2099999999996
VILLISCA,2539.4500000000003
MECHANICSVILLE,2521.5200000000004
TABOR,2514.2200000000003
PLEASANT VALLEY,2494.4999999999995
POSTVILLE,2470.1399999999994
HUMESTON,2469.64
DAKOTA CITY,2465.7999999999997
LIVERMORE,2440.56
HILLS,2431.6499999999996
RUTHVEN,2420.91
EARLY,2418.6000000000004
WOODWARD,2386.0599999999995
NEW VIRGINIA,2372.3600000000006
NEW SHARON,2356.41
LOVILIA,2348.6000000000004
ELDON,2341.6
WALKER,2320.7
PRAIRIE CITY,2298.55
COLESBURG,2284.6
TAMA,2220.7
MALVERN,2184.8100000000004
SCRANTON,2177.63
MURRAY,2141.44
NORWAY,2136.86
APLINGTON,2107.0499999999997
ALTON,2105.95
RUNNELLS,2092.92
MILO,2089.9700000000003
VAN METER,2026.4200000000003
PRINCETON,2025.85
LIME SPRINGS,1978.1100000000001
GILBERTVILLE,1960.68
WYOMING,1958.5100000000002
TREYNOR,1947.48
ALBION,1928.8100000000002
LATIMER,1913.0000000000002
HAZLETON,1886.1100000000001
OTHO,1882.5700000000002
GILMAN,1857.6399999999996
GRAND JUNCTION,1818.5
LOST NATION,1788.06
BOYDEN,1785.8000000000002
TRURO,1759.15
LONE TREE,1755.1
NICHOLS,1749.7500000000002
BATAVIA,1730.8500000000001
ROCKFORD,1724.3
DONNELLSON,1708.2500000000002
LOHRVILLE,1701.1599999999999
FONTANELLE,1659.1999999999998
MARTENSDALE,1655.8
GILMORE CITY,1652.7200000000003
HAMBURG,1644.5700000000002
MAYNARD,1643.9400000000003
ESSEX,1642.95
DUMONT,1629.44
ELK RUN HEIGHTS,1602.85
STANTON,1564.75
OSSIAN,1556.4199999999998
DOWS,1541.5499999999997
MIDDLETOWN,1527.3300000000002
ALBERT CITY,1510.7399999999998
FONDA,1503.2199999999998
GARWIN,1469.4
HINTON,1465.75
MELBOURNE,1425.01
MORNING SUN,1403.75
ROLFE,1367.7
OLIN,1353.2
