vendor_name,total_sales
IA-NATIVE SPIRITS,28534.82000000001
DELUXE WINE & SPIRITS CO / MOLDOVA DELUXE,28147.5
KOVAL DISTILLERY,27539.4
"TYCOGA VINEYARD & WINERY, LLC",27144.359999999997
CARRIAGE HOUSE IMPORTS,24198.75
GLASS REVOLUTION IMPORTS,23971.94999999999
HAWAII SEA SPIRITS LLC,23886.77
HILLROCK ESTATE DISTILLERY,23785.26
BLACK ROCK SPIRITS,23400.0
"RUSH CREEK DISTILLING, LLC",23310.0
TENN SOUTH DISTILLERY / BIG MACHINE DISTILLERY,21606.72
SAVAGE & COOKE / SANTA CROCE LLC,19986.66
"COWBOY COUNTRY DISTILLING, INC.",19669.5
PROST BEVERAGE COMPANY,19392.0
ROCKY TOP INVESTMENTS / ROCK RIVER DISTILLATION,18669.6
RUSSIAN STANDARD VODKA,18498.020000000004
MARA IMPORTS,17880.75
CEO DISTILLING LLC,17721.990000000005
FETZER VINEYARDS,17589.600000000002
IMPEX BEVERAGE INC,17558.58
VIN DIVINO LTD / GONZALEZ BYASS USA,17275.440000000002
HOOD RIVER DISTILLERS,16964.77
SARGE'S SPIRITS LLC,16254.0
"BLACKBIRD SPIRITS, LLC / DR. STONERS HERB INFUSED SPIRITS",16101.000000000002
"TRAVERSE CITY WHISKEY CO / TCWC, LLC",15318.57
"CENTRAL STANDARD, LLC",15311.64
TOM'S TOWN DISTILLING CO,14349.130000000006
MAVERICK SPIRIT LLC / OREGON SPIRIT DISTILLERS,14051.07
GREEN RIVER DISTILLING COMPANY,13824.720000000001
"LONZ WINERY, LLC / ERIE BEVERAGE SOLUTIONS",13730.610000000004
45TH PARALLEL SPIRITS,12317.119999999999
LATITUDE BEVERAGE COMPANY,12156.96
RUMCOQUI AND CO,10888.5
WOODY CREEK DISTILLERS LLC,10665.0
MODERN MATRIARCH,10284.75
CLEAR WATER DISTILLING CO,9585.810000000001
KINGS COUNTY DISTILLERY,8686.68
WILDCAT PRODUCTS LLC,8658.0
BROADBENT VENTURES LLC,8565.29
HEXA PARTNERS LP,8478.84
"T. EDWARD WINES, LTD.",8383.740000000003
"DUMBASS WHISKEY, LLC",8237.320000000002
21ST CENTURY SPIRITS LLC,8049.540000000001
DEMERARA DISTILLERS (USA) INC.,7581.66
"RESTLESS SPIRITS DISTILLING COMPANY, LLC",7464.599999999999
BOVEDA RESERVE DISTRIBUTION LLC,7200.0
BRECKENRIDGE DISTILLERY,6394.5
KOLOA RUM COMPANY,6300.0
FRANK LIN DISTILLERS PRO,5469.42
DUGGANS DISTILLERS,5422.5599999999995
SUTTER HOME WINERY INC / TRINCHERO FAMILY ESTATES,4745.97
RS LIPMAN COMPANY LLC,4695.300000000001
"USA WINE WEST, LLC",4646.76
MIDDLE WEST SPIRITS,4540.5
CALEDONIA SPIRITS,4352.28
COPPER STILL DISTILLERY,4350.0
MACCHU PISCO LLC,4300.0
"3-OAKS DISTILLERY, LLC",3780.0
GRAND TETON DISTILLERY,3510.0
BE IN GOOD SPIRITS LLC / FRANKLY ORGANIC VODKA,3409.25
"VALHALLA IMPORTS, LLC",3334.6800000000003
O'MALLEYS OF WESTON LLC,3168.0
DES MOINES IMPORTS,3132.0
GARGOYLE ENTERPRISES / LAWS WHISKEY HOUSE,3123.0
CVI BRANDS / CALIFORNIA VINEYARDS INC,3087.0
"CHACHO SPIRITS / ZJ LIQUORS, LLC",2916.0
OPICI IMPORT COMPANY,2709.0
"SION FARM DISTILLERY / TWIN CITY ISLAND SPIRITS, INC",2681.5
HEAVENLY SPIRITS LLC,2648.2799999999997
WRS CO. LLC / WRS IMPORTS,2619.0
DREYFUS ASHBY,2034.0
VIKRE DISTILLERY,2001.06
RIVER VALLEY ORCHARDS & WINERY,1800.0
STILLWORKS LLC,1685.6999999999998
COUNTRY SMOOTH SPIRITS,1580.46
INTERNATIONAL TRADE ONE CORP,1494.1799999999998
SAN BARTOLO FARMS INC.,1490.8799999999999
WMC-PBD LLC/ PINE BLUFFS DISTILLING,1440.0
IZTOK LLC / YEBIGA,1377.12
"SURO INTERNATIONAL IMPORTERS, INC",1305.3600000000001
