name,total_sales,sum(sale_liters)
HY-VEE FOOD STORE / OSKALOOSA,229834.32999999996,14041.550000000003
SUPER STOP LIQUOR AND WINE / ALTOONA,227045.4399999999,9618.300000000001
FAREWAY STORES #462 / VINTON,226769.93,17356.02
WAL-MART 1621 / CENTERVILLE,226699.69999999998,15235.399999999998
WAL-MART 0647 / GRINNELL,226483.63999999998,15356.8
SUPER TARGET T-0533 / DAVENPORT,226298.67,10407.420000000002
SOUTHSIDE TOBACCO & LIQUOR,225819.53,10363.230000000001
ROCKINGHAM LIQUOR - DAVENPORT,225603.11999999994,9915.310000000001
WAL-MART 2716 / CEDAR RAPIDS,224946.05999999997,13897.0
SELECT MART / SIOUX CITY,223662.19,10155.019999999997
WAL-MART 1509 / MAQUOKETA,221872.93999999994,15514.35
WAL-MART 1625 / LEMARS,221853.75999999998,14631.050000000001
FAREWAY STORES #949 / MARION,221417.02,17559.55
TOBACCO OUTLET PLUS #507 - URBANDALE,220615.91999999995,14605.800000000003
HY-VEE DOLLAR FRESH / NEVADA,220202.09999999998,13220.199999999997
WAL-MART 1285 / OTTUMWA,219259.88,14657.900000000001
TARGET STORE T-1800 / SIOUX CITY,219190.67999999996,9994.05
BERNIE'S BOOZE LLC,218939.36999999997,12609.16
DISCOUNT LIQUOR,218573.12999999998,10789.3
SUPER MART / OELWEIN,217451.65999999995,8979.150000000001
FAREWAY STORES #508 / FORT DODGE,217067.55000000002,18148.82
FAREWAY STORES #479 / INDEPENDENCE,216591.24,15740.32
"NEIGHBORHOOD FOOD, LIQUOR & TOBACCO / CEDAR RAPIDS",216120.84999999992,10100.660000000002
FAREWAY STORES #594 / MANCHESTER,215987.03999999995,14220.669999999998
SELECT MART    GORDON DR,215957.77,10697.45
THE HUT / COUNCIL BLUFFS,215726.3599999999,10774.250000000004
FAREWAY STORES #841 / RED OAK,215613.68000000002,11679.199999999999
MID TOWN LIQUOR & VAPE / MASON CITY,214150.51999999996,9341.12
CASH SAVER #34 / DES MOINES,214125.66999999995,16053.949999999999
FAREWAY STORES #014 / SERGEANT BLUFF,213369.5,14247.9
WAL-MART 1732 / DENISON,212907.97999999995,12648.449999999999
DHAKALS LLC,212782.70999999996,8745.4
WEST SIDE LIQUOR,212593.26,10108.67
HY-VEE - FOREST CITY,212543.56000000003,15457.45
HY-VEE DOLLAR FRESH / MONTICELLO,212461.46000000005,14687.349999999999
FOUNDRY DISTILLING COMPANY,210930.24,7950.0
FAREWAY STORES #177/ FORT MADISON,210914.97999999998,13665.539999999999
NEIGHBORHOOD TOBACCO OUTLET / MARION,210492.28,14716.639999999998
HY-VEE OTTUMWA#2,210479.8999999999,13113.97
"CENTRAL MART I, LLC.",210217.94999999998,9759.030000000006
WAL-MART 1506 / MANCHESTER,209578.73999999993,13685.7
MOUNT PLEASANT FOOD & LIQUOR / MT PLEASANT,207833.27,12945.15
PRIME MART #3 / WATERLOO,207156.87999999998,9827.949999999999
QUICK MART / HIAWATHA,206743.36999999997,9937.54
RANDY'S NEIGHBORHOOD MARKET,206394.24000000002,17775.85
HAWKS LIQUOR & TOBACCO / CORALVILLE,205338.31999999998,6789.6500000000015
WAL-MART 1431 / KEOKUK,205049.90999999997,15068.75
LAKE VIEW REDEMPTION & LIQUOR STORE,203885.61999999997,13100.429999999998
FAREWAY STORES #683 / WINTERSET,203319.74,14574.300000000001
WORLD LIQUOR & TOBACCO + VAPORS / WAUKEE,202692.21999999997,7364.61
SUPER SAVER LIQUOR -MUSCATINE,202686.15999999997,7828.999999999999
HY-VEE / VINTON,202640.79999999996,12784.790000000003
TARGET STORE T-2041 / DES MOINES,202321.50000000003,10103.55
DANNYS TOBACCO & LIQUOR / GUTTENBERG,201208.7199999999,9190.390000000001
FAREWAY STORES #827 / CENTERVILLE,200730.60999999996,13037.31
FAREWAY STORES #193 / TIFFIN,200428.86999999997,12471.809999999998
GRIEDER BEVERAGE DEPOT,200354.47999999995,11904.8
FAREWAY STORES #168/ PEOSTA,199902.9,12953.2
HY-VEE DOLLAR FRESH - EMMETSBURG,199844.91,14520.8
SHOP N SAVE NEWTON,199667.98999999996,8649.610000000002
QUALITY QUICK STOP,199538.06,10006.15
RINA MART LLC / DAVENPORT,198950.44,7710.000000000001
FAREWAY STORES #888 / JEFFERSON,198122.58999999994,13546.109999999999
CASEY'S #6127 / COUNCIL BLUFFS,197793.97999999992,7877.0599999999995
ALLCOOL LIQUORS / WDM,197269.13999999998,6799.120000000001
HY-VEE FOOD STORE #4 / CEDAR RAPIDS,197151.09999999995,15110.07
HY-VEE OELWEIN DOLLAR FRESH,196586.63999999996,14727.18
SONNY'S SUPER MARKET / WEST POINT,195981.13,11529.8
HY-VEE FOOD STORE / CLARINDA,195602.85999999993,13131.72
HY-VEE FOOD STORE / CHEROKEE,193706.38,13035.800000000001
FAREWAY STORES #951 / WATERLOO,193530.55,14937.920000000002
WAL-MART 0751 / PELLA,192997.66999999998,12435.25
WAL-MART 1475 / WASHINGTON,192926.35999999993,13640.7
RANDY'S NEIGHBORHOOD MARKET / DYERSVILLE,192677.21,18093.649999999998
WAL-MART 0748 / NEWTON,192437.67000000004,13199.349999999999
FAREWAY STORES #561 / WAVERLY,192130.34,13371.939999999999
EXPO LIQUOR,192004.79999999993,10312.04
KC BROTHERS,191220.57000000004,11057.630000000001
FAREWAY STORES #950 / IOWA CITY,191109.85,11804.34
TOBACCO OUTLET PLUS #560 / CEDAR RAPIDS,190851.88999999996,10736.7
SA TOBACCO LIQUOR MART,190135.86999999997,7125.630000000002
HARD ROCK HOTEL & CASINO SIOUX CITY,189350.96999999997,8352.35
HY-VEE CRESCO DOLLAR FRESH,188875.56,14590.949999999997
TARGET STORE T-1113 / CORALVILLE,186283.22999999998,8731.55
QUILLINS QUALITY FOODS WEST UNION,186251.59999999998,15029.5
TOBACCO OUTLET PLUS #561 / CEDAR FALLS,186102.44999999998,12026.16
GM MART / IOWA CITY,185606.48,7117.200000000001
KWIK STOP LIQUOR & GROCERIES AMES,185563.67999999993,9185.280000000002
BEER ON FLOYD / SIOUX CITY,184833.22,7866.379999999999
BREW OIL #26 / POCAHONTAS,184611.69999999998,13034.599999999999
CROSSROADS WINE & SPIRITS LLC,184563.15,10176.73
"WILLIAMS BOULEVARD SERVICE, INC.",183961.58000000002,6947.67
FAREWAY STORES #657 / INDIANOLA,183778.18,12989.739999999998
SUPER SAVER TOBACCO & LIQUOR / DAVENPORT,183118.75,7143.880000000001
HARTIG DRUG #14 / INDEPENDENCE,182953.28999999995,9792.61
PRICE CHOPPER  /  MERLE HAY #1315,182693.19,13440.249999999998
HY-VEE DYERSVILLE DOLLAR FRESH,182164.47,12830.4
SAM'S FOOD,182128.11,8503.72
HY-VEE WINE AND SPIRITS (1022) / ANKENY,182011.41000000003,8974.739999999998
HY-VEE FOOD STORE / CORNING,181466.0299999999,11306.39
W-MART,181256.67,8230.88
FAREWAY STORES #993 / NORTH LIBERTY,181068.27,12268.539999999999
GASLAND / BURLINGTON,181041.28999999998,8539.75
SUPER QUICK LIQUOR / WDM,180441.04999999993,6719.129999999997
HY-VEE DOLLAR FRESH - TOLEDO,180260.71999999997,12193.870000000003
NEW STAR FLETCHER / WATERLOO,179804.6,8450.640000000001
SMOKIN' JOE'S #17 TOBACCO AND LIQUOR OUTLET,179683.07999999996,9455.039999999999
RANDY'S NEIGHBORHOOD MARKET / OSAGE,179587.02999999997,14636.309999999996
LOCAL CRAFT CELLAR / CEDAR RAPIDS,178613.09,4764.16
PEARL CITY TOBACCO & LIQUOR OUTLET / MUSCATINE,178330.27999999997,10921.67
TARGET STORE T-3374 / IOWA CITY,178265.4,8363.55
BEST TRIP,177728.05999999997,7470.750000000002
CASEY'S GENERAL STORE #1548 / ANKENY,177185.36999999997,8996.109999999999
TARGET STORE T-1170 / AMES,177069.83,8278.75
FINE LIQUOR & TOBACCO,176365.56000000003,7663.650000000001
SMOKIN' JOE'S #15 TOBACCO AND LIQUOR OUTLET,176067.59999999983,10441.45
FAREWAY STORES #848 / NEWTON,174990.87999999995,12645.8
HY-VEE FOOD STORE / MOUNT AYR,174739.40999999997,11762.249999999998
GIRI'S LIQUOR STORE / WEST LIBERTY,174060.01999999993,7213.839999999999
KUENNEN'S LIQUOR STORE,173922.08,10415.85
FIVE CORNERS LIQUOR & WINE,173403.84999999998,8546.23
RIVERSIDE #4 / BETTENDORF,172676.38999999998,6302.33
HY-VEE DOLLAR FRESH / INDEPENDENCE,172512.63999999998,11327.749999999998
NEW STAR / KNOXVILLE,172197.88,9669.71
GUDDI MART / WATERLOO,171251.37000000002,6334.680000000002
POLK CITY LIQUOR / POLK CITY,169526.44999999995,7265.24
MEGA SAVER / COUNCIL BLUFFS,169155.86999999997,4997.440000000002
HY-VEE FOOD STORE / DAVENPORT,169084.11,12934.41
INGERSOLL WINE MERCHANTS,168796.83999999997,4706.51
CASEY'S GENERAL STORE #3888 / ANKENY,167900.92999999996,7574.100000000001
FAREWAY STORES #067 / EVANSDALE,167879.55999999997,12878.099999999999
TOBACCO OUTLET PLUS #537 / IOWA CITY,167692.40999999992,9634.85
STATION MART 2 / EVANSDALE,166830.33999999997,9237.03
FAREWAY STORES #055 / HIAWATHA,165952.76,11490.150000000003
FAREWAY STORES #467 / MARSHALLTOWN,165423.65999999997,11891.35
ALI'S CORNER / WATERLOO,165156.53999999998,6415.150000000001
FAREWAY STORES #551 / EAGLE GROVE,164917.25999999998,11424.8
FAREWAY STORES #166/ ANAMOSA,164848.69999999998,12882.58
FRANKLIN STREET FLORAL & GIFT,164297.02,9962.0
BACKWATER SPIRITS AND MORE,164165.68999999997,5037.969999999999
BROADWAY LIQUOR,163556.99999999997,6527.580000000001
WALGREENS #07452 / DES MOINES,163363.13999999998,7849.5
PONY CREEK LIQUOR / GLENWOOD,163352.23999999993,7914.000000000002
LIQUOR TOBACCO & VAPE / MANCHESTER,163318.21,6058.08
HY-VEE  #2 (1018) / AMES,162721.23000000004,7241.200000000004
FAREWAY STORES #461 / STORM LAKE,162565.13,12703.819999999998
KUM & GO #0731 / DES MOINES,161882.38999999998,8031.720000000001
HY-VEE FAST & FRESH - DES MOINES,161677.7,7160.590000000002
FAREWAY STORES #386 / AMES,161331.63999999996,11931.269999999999
NEIGHBORHOOD LIQUOR AND SMOKES / AMES,161246.63999999998,6311.06
LE CLAIRE GROCERY STORE,161134.15000000002,8091.66
H AND A MINI MART /BP,161075.07000000004,4800.330000000001
HOMETOWN FOODS / STUART,160512.74,11394.350000000002
LIQUOR TOBACCO OUTLET / FORT DODGE,160374.86,8617.41
RUSH STOP / CHARLES CITY,160370.88,7793.700000000002
GM MINIMART / MUSCATINE,160245.18999999997,7976.620000000001
GOOD AND QUICK CO,159869.27999999997,10201.93
CODY MART GAS & LIQUOR,159185.74,10065.47
HOMETOWN MARKET / CENTRAL CITY,159016.68,9878.109999999999
HOMETOWN FOODS / PANORA,158319.51,11021.48
KIRKWOOD LIQUOR AND TOBACCO / IOWA CITY,158083.65999999997,7172.380000000003
KUM & GO #226 / SIOUX CITY,157128.25999999995,10869.780000000002
GRANDVIEW MART,157110.51999999996,7026.410000000001
SUPER STOP IV - DUBUQUE,156939.62000000002,7124.650000000001
SAM'S MAINSTREET MARKET / SOLON,156645.2,9200.58
FAREWAY STORES #989 / WAUKEE,155811.07999999996,10044.22
WAL-MART 4606 / OSCEOLA,155758.64999999997,9916.199999999999
SAM'S MINI MART / MORNINGSIDE AVE SIOUX CITY,155414.62,7606.289999999999
PUMP N PACK / ROCK VALLEY,154550.25999999998,9458.54
SHOP N SAVE #2 / E 14TH,154399.06999999998,6238.989999999999
FAREWAY STORES #840 / MONTICELLO,154242.13999999996,11597.76
XO FOOD & LIQUOR / WATERLOO,154169.16,6981.040000000001
BROTHER'S MARKET WINE AND SPIRITS,154016.8299999999,10250.289999999999
"BROTHERS MARKET, INC.",153981.78999999998,11462.45
C FRESH MARKET,153847.37,4708.65
TEMPLETON DISTILLING LLC,153000.0,2700.0
WORLD LIQUOR & TOBACCO + VAPE,152365.42,6818.55
"SMOKE SHOP, THE",152133.47999999995,7362.830000000002
FAREWAY STORES #015 / DENISON,151910.13999999998,10505.22
I TOWNER STOP / INDIANOLA,151792.10999999996,6154.640000000001
WAL-MART 1546 / IOWA FALLS,151560.86999999997,9931.05
"LIQUOR, TOBACCO & GROCERY / DUBUQUE",150926.18999999997,5255.810000000002
MONTE SPIRITS,150842.39999999994,8154.05
FAREWAY STORES #788 / SPENCER,150819.37999999998,12063.31
CASEY'S GENERAL STORE #2773 / CEDAR RAPIDS,149374.67999999996,7804.990000000001
FORT MADISON TOBACCO AND LIQUOR OUTLET PLUS / FORT MADISON,148598.86000000002,8030.190000000001
FAREWAY STORES #879 / BELMOND,148509.51999999996,11506.65
HY-VEE -GARNER,148079.21,10550.2
BROTHERS MARKET,147445.07,10596.720000000001
FAREWAY STORES #938 / SHENANDOAH,147091.59999999998,10002.1
FAREWAY STORES #941 / GREENFIELD,146350.25999999998,10293.919999999998
"FAREWAY STORES, INC. #225 / DES MOINES",146060.08999999997,6434.69
FAST AVE ONE STOP / MUSCATINE,145973.25,8128.76
SUB EXPRESS & GAS,144848.15000000005,6181.080000000002
TARGET STORE T-1792 / WATERLOO,144399.41999999998,7330.150000000001
TOBACCO 4 LESS / STATE ST,144347.32,7453.93
MRS. B'S LIQUOR,144124.16,8781.74
GARY'S FOODS / MT VERNON,143394.43,9929.699999999999
A&Z LIQUORS / HAMPTON,143161.55,4373.25
SMOKIN' JOE'S #10 TOBACCO AND LIQUOR OUTLET,142484.2799999999,8559.780000000002
CASEY'S #6122 / COUNCIL BLUFFS,142458.40999999997,5586.5700000000015
GASLAND #102 / BURLINGTON,142336.19999999998,6201.700000000001
LARCHWOOD OFFSALE,142159.91999999998,8365.0
HAWKEYE LIQUOR & TOBACCO / IOWA CITY,141681.42,5142.17
CASEY'S #6117 / COUNCIL BLUFFS,140593.09999999998,4972.469999999998
BLUEJAY MARKET,140312.56999999995,5007.2
WESTSIDE PETRO,140014.56,6453.199999999999
GOLDEN MART,139280.09,6293.500000000002
GRAND FALLS CASINO RESORT,138912.50999999998,5745.96
"MK MINIMART, INC",138806.23999999996,5986.520000000003
HY-VEE FOOD STORE / ELDORA,138646.38,10920.189999999999
WINE & SPIRITS SHOPPE OF ALGONA / ALGONA,138491.25999999998,8919.92
TOBACCO HUT PLUS US GAS / DES MOINES,138132.74999999997,7097.449999999999
WEST SIDE GROCERY,137966.97,5821.550000000002
SUPER CONVENIENCE STORE,137788.36999999997,4642.02
JUMBO'S,136930.94999999998,8975.06
TOBACCO OUTLET PLUS #530 / AMES,136385.92,8045.300000000001
IDA GROVE FOOD PRIDE,135770.78999999998,9274.170000000002
SUPER TARGET T-0804 MASON CITY,135620.62,7128.400000000001
WORLD LIQUOR & TOBACCO + VAPORS / AMES,135601.3,5444.93
FAREWAY STORES #559 / IOWA FALLS,135224.13,8484.65
SMOKIN' JOE'S #4 TOBACCO AND LIQUOR OUTLET,134873.39999999985,7960.130000000002
HOMETOWN FOODS,134301.4,7616.6100000000015
HAWKEYE SMOKE AND LIQUOR / IOWA CITY,134266.83,5972.650000000001
FAREWAY STORES #940 / ATLANTIC,134241.79,9609.15
FAREWAY STORES #034 / IOWA CITY,134091.55,9318.4
THUNDER RIDGE AMPRIDE,133833.79999999996,6565.080000000002
TOBACCO HUT #11 / SIOUX CITY,133704.89999999994,6966.26
BUCKY'S,133578.67,7773.95
HELLO MART LLC / SIOUX CITY,132980.06999999995,5981.29
NEIGHBORHOOD MART,132898.49999999997,7399.530000000001
CASEY'S GENERAL STORE #3674 / SIOUX CITY,132790.32999999996,5426.630000000001
"FAREWAY STORES, INC. #222 / ROCKWELL CITY",132705.30999999997,8695.34
BRITT FOOD CENTER,132564.35,9361.72
WAL-MART 0841 / TIPTON,132244.63999999998,8878.0
7STAR LIQUOR & TOBACCO OUTLET,131981.72,4980.790000000001
TARGET STORE T-2454 / COUNCIL BLUFFS,131866.91999999998,6220.25
RUSS'S MARKET #30,131559.81999999998,9143.05
PRIME MART / CEDAR FALLS,130641.43999999997,6582.830000000001
FAREWAY STORES #815 / CRESCO,130594.48999999998,10541.96
CB QUICK STOP / COUNCIL BLUFFS,130422.67999999998,6667.960000000002
RIVERSIDE CASINO AND RESORT,130213.45999999998,4700.85
CASEY'S GENERAL STORE #3050 / COUNCIL BLUFFS,129756.38999999997,5321.35
CASEY'S GENERAL STORE #3031 / GARNER,129574.12999999996,8009.64
FAREWAY STORES #998 / MUSCATINE,129510.78999999998,9266.17
HY-VEE FAST & FRESH / DAVENPORT,129315.6,6889.920000000001
TARGET STORE T-1939 / ALTOONA,129262.73999999999,5580.900000000001
BP FUEL / DUBUQUE,128998.95000000001,5690.650000000001
FREEMAN FOODS OF NORTH ENGLISH,128790.13999999996,7709.53
FAREWAY STORES #106 / CLIVE,128771.74000000002,7634.610000000001
CASEY'S GENERAL STORE #1938 / ALTOONA,128541.64999999998,5379.11
PALO MINI MART,127829.5,6544.500000000001
L&M MIGHTY SHOP,126931.37,5768.120000000001
HY-VEE FAST & FRESH/ALTOONA,126719.72999999998,6879.050000000002
CASEY'S GENERAL STORE #6134 / COUNCIL BLUFFS,126688.23999999999,4756.950000000002
SITE FOOD MART,126687.43999999997,8104.76
TOBACCO HUT & LIQUOR,126484.5499999999,5535.530000000004
TOBACCO HUT #18 / COUNCIL BLUFFS,125944.73999999999,5580.840000000005
D AND S GROCERY,125835.54,7675.5
FAREWAY STORES #407 / ESTERVILLE,125674.36,10437.1
FAREWAY STORES #502 / CHEROKEE,125525.01,8991.650000000001
CASEY'S GENERAL STORE #2785 / ANKENY,125391.06999999998,6895.520000000002
PERFECT VALUE LIQUOR MART,125092.54,5633.540000000001
EHLINGER'S VINTON EXPRESS,124722.75999999998,7169.020000000002
AUDUBON FOOD LAND,124655.40999999996,9120.49
LARCHWOOD QUICK STOP / LARCHWOOD,124522.88999999997,7958.299999999999
HARTIG DRUG CO #6 / DYERSVILLE,123918.75999999998,7153.560000000001
CASEY'S GENERAL STORE #2896 / ANKENY,123913.54,5609.370000000001
U S GAS,123516.85,6249.19
BENDER FOODS / GUTTENBERG,123045.0,8697.550000000001
BROOKLYN GROCERY,122431.63999999998,7630.469999999999
JEFF'S MARKET / BLUE GRASS,121861.33999999997,7734.680000000001
SMOKIN' JOE'S #8 TOBACCO AND LIQUOR OUTLET,121490.44999999995,6512.350000000002
'DA BOOZE BARN / WEST BEND,121424.62999999999,7229.57
MOTI'S FOOD,120964.28,4451.030000000002
CASEY'S GENERAL STORE #3203 / COUNCI,120126.28,4884.240000000001
WALGREENS #07453 / DES MOINES,119979.9,7282.5
CASEY'S GENERAL STORE #3852 / CRESTON,119583.93999999999,5618.1500000000015
B AND B WEST,119454.92999999996,6028.81
QUIK TRIP #530 / EUCLID,119079.20000000003,6740.850000000001
HARTIG DRUG STORE #10 / IOWA CITY,118928.27999999998,7770.590000000001
GREAT PASTIMES,118320.27,7853.82
FAREWAY STORES #021 / SHELDON,118274.32999999999,9441.84
QUIK TRIP #513 / URBANDALE,118224.06000000003,6799.360000000003
HOMETOWN SPIRITS / TIFFIN,118119.78000000001,3997.739999999999
ECON-O-MART / COLUMBUS JUNCTION,118027.36999999997,7615.25
STATE FOOD MART,117994.61,7124.240000000001
SMOKIN' JOE'S #7 TOBACCO AND LIQUOR OUTLET,117817.9,7118.580000000003
SMOKIN' JOE'S #2 TOBACCO AND LIQUOR OUTLET,117728.01999999997,7411.840000000003
OELWEIN LIQUOR,117645.34999999999,7824.789999999999
WASHINGTON LIQUOR AND TOBACCO OUTLET / WASHINGTON,117535.12000000002,5384.950000000001
LUXEMBURG LIQUOR TOBACCO & GAS,117307.04999999997,4264.379999999999
MAIN STREET LIQUORS / MANNING,117077.40999999995,6715.93
STATION MART #1 - EVANSDALE,116969.66999999997,6042.980000000001
CASEY'S GENERAL STORE #3382 / CEDAR,116912.5,5112.690000000001
CLEAR LAKE PAYLESS FOODS,116814.13,8723.69
HIWAY 20 LIQUOR & TOBACCO / WEBSTER CITY,116336.43,5277.41
ROUND WINDOW LIQUOR,116325.41,7000.17
MIDTOWN LIQUOR,116121.53999999998,5243.350000000001
KIMMES MANSON COUNTRY STORE #10,115580.62999999999,8135.060000000001
CASEY'S GENERAL STORE #3827- ANKENY,115372.68000000001,5210.98
HY-VEE / CORYDON,115255.70999999999,7287.47
FAREWAY STORES #882 / ELDORA,115163.89,7105.96
ELMA LOCKER AND GROCERY,114823.33999999998,7335.549999999999
FAREWAY STORES #902 / HAMPTON,113682.21999999997,8103.5
FOODLAND SUPER MARKETS / WOODBINE,113646.19999999998,6836.52
MISSISSIPPI RIVER DISTILLERY - LECLAIRE,112657.86000000002,4057.0
QUICK CORNER / HAWARDEN,112639.40999999997,6619.09
BROTHERS MARKET  /  GRUNDY CENTER,112592.19,8627.75
CASEY'S GENERAL STORE # 3509/ CARTER LAKE,112499.03,4139.14
QUIK STOP  /  BURLINGTON,112172.21,5309.26
HY-VEE HAMPTON DOLLAR FRESH,112127.59000000003,8411.95
"BRICK STREET MARKET, LLC",112049.57999999999,5118.139999999999
LANSING IGA,111532.92000000001,8968.21
CITY LIQUOR / IOWA CITY,111512.18000000001,4884.95
CASEY'S GENERAL STORE # 2792/CEDAR RAPIDS,111425.90000000001,4919.65
EZ MART / BONDURANT,111372.9,6423.780000000003
CASEY'S GENERAL STORE #2766 / CEDAR RAPIDS,111360.09000000001,5381.87
ROY'S FOODLAND,111169.35999999996,7640.3099999999995
SMOKIN' JOE'S #13 TOBACCO AND LIQUOR OUTLET,110929.69999999997,6113.220000000001
TODD'S SHELL / ROCK RAPIDS,110672.08999999998,7007.83
HY-VEE FOOD STORE (1011) / ALTOONA,110594.02999999998,5619.25
CASEY'S GENERAL STORE # 3508/ MARSHA,109836.29000000001,5052.0
QUIK TRIP #500 / HUBBELL DM,109341.95999999999,6249.7800000000025
INDY 66 WEST #929 / INDIANOLA,109189.41000000002,5784.6
EZ STOP 1 / DUBUQUE,109037.68999999999,5220.22
CASEY'S GENERAL STORE #2689 / ANKENY,108425.42,5072.450000000002
KUM & GO #129  /  JOHNSTON,108161.96000000002,5420.880000000002
CASEY'S GENERAL STORE #2787 / CEDAR RAPIDS,108047.16000000002,5927.170000000001
CASEY'S GENERAL STORE #2778 / CEDAR,107414.57000000004,5769.889999999999
JIM'S FOOD,107214.68,5248.690000000001
CASEY'S GENERAL STORE # 3518/ DES MOINES,107183.09,4910.7300000000005
LAKE CITY FOOD CENTER,107035.92999999998,7764.000000000001
ROYAL MART / DES MOINES,106904.72000000003,4380.809999999996
WHOLE FOODS MARKET,106762.01999999999,3479.2499999999995
THE HUT 23,106567.93999999999,6444.3
FAREWAY STORES #995 / PELLA,106068.36000000002,6249.960000000001
FAREWAY STORES #491 / MASON CITY,106022.4,8833.49
CAMANCHE FOOD PRIDE,105951.06,6638.2
EAGLE COUNTRY MARKET / DUBUQUE,105807.85,12481.9
HY-VEE FOOD STORE / ALBIA,105158.31,6512.25
ONE STOP SHOP #4 - DENISON,104761.95000000001,4026.6700000000005
UNI MART / WATERLOO,104698.00000000001,4336.110000000001
CASEY'S GENERAL STORE #2891 / FORT DODGE,104424.75,5147.74
HY-VEE WAUKON DOLLAR FRESH,103734.53,7648.950000000001
INDY 66 #928 / INDIANOLA,103444.9,5458.35
LOGAN SUPER FOODS,103031.1,6917.2
TOBACCO MART / URBANDALE,102314.68,4039.63
JONESY'S STOP N SHOP,102307.48999999998,6288.740000000001
RUBACK'S FOOD CENTER,102221.14,7461.0
REVELTON DISTILLING COMPANY,102208.5,3030.0
KUM & GO #573 / SE 14TH DM,101894.28000000001,4859.9800000000005
MIDWEST FOOD & LIQUOR / PLEASANT HILL,101550.22000000002,3853.4299999999985
LIQUOR AND TOBACCO OUTLET / UNIV AVE WATERLOO,101499.48000000003,5325.8
KARAM KAUR KHASRIYA LLC,100901.80999999997,7449.900000000001
THE MARKET OF MADRID,100876.08000000002,7198.37
MEPO FOODS / MEDIAPOLIS,100724.4,5933.970000000001
AVOCA FOOD LAND,100624.73,6544.129999999999
CIRCLE B MARKET,100579.43999999999,6568.920000000002
BAILEY'S CONVENIENCE / SIOUX CITY,100493.14,4629.350000000001
SUPER QUICK / SE 30 DM,100263.46999999999,3682.6499999999996
CASEY'S GENERAL STORE #2923 / WDM,99999.44,4287.6500000000015
FAREWAY STORES #531 / ALGONA,99826.37999999999,7120.54
HILL BROTHERS JIFFY MART / CEDAR RAPIDS,99766.72000000002,3876.3
CASEY'S GENERAL STORE #3055 / GRUNDY CENTER,99743.71999999999,5799.95
FAREWAY STORES #849 / EMMETSBURG,99087.7,7501.2
SMOKIN' JOE'S #11 TOBACCO AND LIQUOR OUTLET,99077.91999999997,6283.490000000002
KWIK SHOP #541 / GLENWOOD,99017.62999999999,5448.91
TOBACCO HUT / URBANDALE,98988.01000000001,4021.1200000000003
FAREWAY STORES #792 / TOLEDO,98376.29,6635.050000000001
ROUND WINDOW LIQUOR / KNOXVILLE,98159.03999999998,5809.950000000001
KUM & GO #201 / CORALVILLE,98068.06999999996,4797.320000000002
CASEY'S GENERAL STORE # 2607/ SIOUX CITY,97873.01000000001,4453.84
KUM & GO #170 / URBANDALE,97668.60999999999,5008.92
HOMETOWN FOODS / TRAER,97224.9,6750.6
CASEY'S #2654 / STUART,97182.50000000001,4214.36
CASEY'S GENERAL STORE #3333 / PLEASANT HILL,97156.2,4280.930000000001
WALGREENS #00359 / DES MOINES,97026.65,4302.37
KUM & GO #1097 / 50TH WDM,96943.25,4617.31
S & S MEATS AND SPIRITS / OSAGE,96925.48999999999,5165.65
OLD FIRE LIQUOR / BUFFALO CENTER,96524.94,6135.660000000001
MARKET EXPRESS,96233.61,4057.3100000000013
FAREWAY STORES #395 / WEBSTER CITY,96225.97000000002,7057.56
DECORAH MART,96211.39,6355.410000000001
HY-VEE FOOD STORE / DENISON,96033.68,7066.0
HY-VEE FOOD STORE #1 (1013) / AMES,95956.12999999996,4144.650000000001
FAREWAY STORES #703 / HUMBOLT,95924.15,7210.77
CASEY'S GENERAL STORE # 3507/ GRIMES,95508.19999999998,4248.240000000002
CASEY'S GENERAL STORE # 3561/ CEDAR RAPIDS,95508.02999999997,4233.780000000001
CHEAP SMOKES / BEER CITY,95408.2,5242.72
KUM & GO #184 / ALTOONA,95315.23,4335.160000000002
CASEY'S GENERAL STORE #3082 / CARROLL,95237.62999999998,4800.850000000002
KUM & GO #4020 / ANKENY,95166.40999999999,4575.42
CASEY'S #3934 / ANKENY,95133.31000000001,3565.16
KUM & GO #3035 / WEST DES MOINES,94858.00999999998,4315.490000000002
CASEY'S #3746 / GRIMES,94802.93,4340.62
"ELLIOTT'S GENERAL STORE,",94511.02,5361.1
KIMMES KINGSLEY COUNTRY STORE #16 / KINGSLEY,94405.01999999997,5381.36
JMC SUPERMARKET / PERRY,94383.10999999999,4391.12
CASEY'S GENERAL STORE #2164 / ANKENY,94050.27,4724.960000000001
CASEY'S GENERAL STORE #2824 / WDM,93759.96999999999,3927.26
"BROTHERS MARKET, INC. / CASCADE",93002.82999999997,7428.7
CASEY'S GENERAL STORE #3756 / CEDAR RAPIDS,92980.95999999999,4390.67
CONOCO / LE GRAND,92901.88999999996,5971.860000000002
TARGET STORE T-0878 / FORT DODGE,92641.66,4233.37
KUM & GO #539/ NW 2ND AVE,92629.1,5102.51
CASEY'S GENERAL STORE #6116 / COUNCIL BLUFFS,92571.78000000001,3280.390000000001
KUM & GO #1202 / WAUKEE,92558.76000000001,4474.4400000000005
KUM & GO #200 / AMES,92549.81999999998,4951.790000000003
SPEEDY GAS N SHOP,92468.33000000003,4118.32
A TO Z LIQUOR / CHEROKEE,92347.21999999997,5885.56
