name,total_sales,sum(sale_liters)
HY-VEE FOOD STORE / JOHNSTON,875862.7200000003,47180.27999999999
HY-VEE FOOD STORE / MOUNT PLEASANT,859715.8500000002,51531.4
HY-VEE FOOD STORE #1 / NEWTON,850670.6200000001,48879.56
HY-VEE WINE AND SPIRITS / BOONE,833617.2100000001,50172.220000000016
SID'S BEVERAGE SHOP,833224.6699999998,43284.759999999995
MARSHALL BEER WINE SPIRITS,824345.93,32108.20999999999
LAKE LIQUORS WINE AND SPIRITS,818153.5899999997,43391.22
HY-VEE FOOD STORE #1 / CEDAR RAPIDS,816819.1200000001,50546.57
HY-VEE FOOD STORE / KEOKUK,813219.5500000005,49164.21000000001
HY-VEE FOOD STORE #2 / WATERLOO,805519.38,47956.97
MAD AVE QUIK SHOP,802825.97,42001.229999999996
HY-VEE #2 FOOD STORE / MASON CITY,777626.2300000003,52125.29999999999
UNIVERSITY LIQUORS / WDM,773513.1799999999,22274.249999999996
WINES AND SPIRITS / WASHINGTON,760473.21,45767.5
HY-VEE WINE AND SPIRITS / SPIRIT LAKE,755942.3800000005,42628.0
HY-VEE WINE AND SPIRITS / HUMBOLDT,747632.86,46992.45000000001
HY-VEE WINE AND SPIRITS / WATERLOO,746131.7300000001,39283.29
WAL-MART 3630 / MARION,739111.53,43991.670000000006
JOHN'S GROCERY,736461.0499999999,28046.999999999993
HY-VEE #3 / DUBUQUE,724812.16,50411.020000000004
FAREWAY STORES #077 / NORWALK,724321.02,39725.31
WAL-MART 3762 / WDM,723374.92,38555.81999999999
H & A MINI MART,716992.65,24288.219999999994
HY-VEE WINE AND SPIRITS / HUBBELL,715178.48,38647.69999999999
HY-VEE FOOD STORE / IOWA FALLS,713049.9500000001,45261.459999999985
WAL-MART 4256 / AMES,703550.7799999999,38963.45
HY-VEE WINE AND SPIRITS / LE MARS,703534.3500000002,41597.73
WAL-MART 0892 / ANKENY,692982.2999999999,39066.45
HY-VEE WINE AND SPIRITS / ATLANTIC,690686.0,43702.30000000001
HY-VEE WINE AND SPIRITS / ALGONA,689377.2399999999,44651.810000000005
HY-VEE WINE AND SPIRITS / HARLAN,686759.6000000001,38294.08999999999
HY-VEE WINE & SPIRITS / MUSCATINE,683465.9,39332.86999999999
7 RAYOS LIQUOR STORE,676796.19,33463.16
HY-VEE FOOD STORE #1 / WDM,670231.75,40258.75000000001
BOOTLEGGING BARZINIS,669780.75,21157.959999999995
WAL-MART 0753 / CEDAR FALLS,666183.2299999999,38261.42999999999
COSTCO WHOLESALE #1630 / ANKENY,663782.19,38038.5
HY-VEE FOOD STORE / FAIRFIELD,662699.6400000001,34719.78
HY-VEE WINE AND SPIRITS / STORM LAKE,662020.6900000004,40215.170000000006
HY-VEE WINE AND SPIRITS / DENISON,660624.0000000001,40768.72
JOHNCY'S LIQUOR STORE,660281.57,31966.679999999997
QUICK SHOP / CLEAR LAKE,651045.94,37102.50999999998
HY-VEE FOOD STORE #2 / DES MOINES,644575.2200000001,44921.9
HY-VEE # 6/ DES MOINES,641940.84,30412.429999999997
HY-VEE FOOD STORE / WEBSTER CITY,634810.27,38175.38999999999
QUICKER LIQUOR STORE,630993.5900000001,37096.38
TOBACCO SHOP / ARNOLDS PARK,628376.4799999999,34351.979999999996
WAL-MART 3590 / SIOUX CITY,627265.7699999999,35529.96
SUPER SAVER IV,621515.21,45137.17999999999
1ST STOP BEVERAGE SHOP,619879.45,26812.669999999987
FAREWAY STORES #153  /  W DES MOINES,613757.11,35006.38
HY-VEE / DRUGTOWN #1 / CEDAR RAPIDS,610410.63,48499.090000000004
FAREWAY STORES #987 / DAVENPORT,606590.59,35000.57
HY-VEE / CHARLES CITY,603246.0499999999,37876.33
HY-VEE DRUGSTORE / IOWA CITY,598570.8999999999,30723.809999999998
HY-VEE WINE AND SPIRITS / RED OAK,587912.5800000002,36825.10999999999
WAL-MART 1415 / SPIRIT LAKE,585496.5299999999,35286.87
FAREWAY STORES #983 / GRIMES,584551.68,29609.82
WAL-MART 1361 / SIOUX CITY,576034.21,31129.389999999996
BEER THIRTY CARROLL / CARROLL,575307.05,34950.28000000001
WAL-MART 0886 / FORT DODGE,568988.71,33458.96
HY-VEE DRUGSTORE / DAVENPORT,567467.7,37195.91999999999
WAL-MART 2764 / ALTOONA,561951.61,31720.99
HY-VEE / DECORAH,557465.44,31804.829999999998
INGERSOLL LIQUOR AND BEVERAGE,556911.11,19721.25999999999
WAL-MART 0797 / W BURLINGTON,549680.7499999999,35534.95
FAREWAY STORES #022 / SIOUX CITY,544971.89,28359.92
WAL-MART 1241 / DAVENPORT,541925.5999999999,32934.06
HY-VEE WINE AND SPIRITS / WASHINGTON,536745.6200000001,30899.610000000008
HY-VEE FOOD STORE / SHELDON,533069.49,33969.30999999999
ELDRIDGE MART,532904.3,28721.61
HY-VEE FOOD STORE / CHARITON,530027.21,30299.00999999999
HY-VEE FOOD STORE #2 / IOWA CITY,527523.8099999999,32404.529999999988
WORLD LIQUOR & TOBACCO,526372.12,22019.699999999993
FAREWAY STORES #597 / CRESTON,523902.93000000005,30662.300000000003
BEER THIRTY DENISON,521664.5700000001,23430.07
WAL-MART 1965 / COUNCIL BLUFFS,510010.3999999999,32792.14
PRIME MART / WATERLOO,508771.76999999996,19664.459999999992
"GIGGLE JUICE LIQUOR STATION, LLC",507230.88999999996,32919.92999999999
SAHOTA FOOD MART,501985.12999999995,20179.149999999994
THE OX & WREN SPIRITS AND GIFTS,496151.7700000001,31034.329999999994
WAL-MART 0749 / AMES,494166.4999999999,31612.3
URBANDALE LIQUOR,490443.5800000001,21213.749999999993
WAL-MART 1491 / INDIANOLA,482200.76,28328.629999999997
SOUTH SIDE FOOD MART,480609.10999999987,21040.569999999996
WESTSIDE SPIRITS / CEDAR RAPIDS,475793.79000000027,17727.179999999986
SOUTHSIDE LIQUOR & TOBACCO / IOWA CITY,472400.6599999999,14180.22
LIQUOR LOVERS / ANKENY,468729.0900000001,13602.779999999997
AMERISTAR CASINO / COUNCIL BLUFFS,467107.13999999996,20597.6
CORK 'N BOTTLE / MANCHESTER,455896.2800000002,27140.60999999999
POINT LIQUOR & TOBACCO,455818.47999999986,16632.48
HY-VEE DRUGSTORE #6 / CEDAR RAPIDS,451504.87000000017,29451.689999999988
WAL-MART 5748 / GRIMES,448115.23999999993,26885.649999999998
WAL-MART 0913 / DECORAH,446384.7799999999,28282.85
BEER THIRTY STORM LAKE / STORM LAKE,444261.77000000014,21696.47
GD XPRESS / DAVENPORT,444069.64,18144.009999999987
WAL-MART 0810 / MASON CITY,443729.81999999995,27260.539999999997
HY-VEE FOOD STORE / FORT DODGE,439893.95999999996,29522.699999999993
WAL-MART 2827 / CORALVILLE,439351.25,26890.31
HY-VEE DRUGSTORE / OTTUMWA,437589.46,26336.02999999998
NEW STAR LIQUOR / W 4TH S / WATERLOO,430375.2299999999,19297.40999999999
HY-VEE WINE AND SPIRITS / ESTHERVILLE,425679.5799999999,27882.76
BANCROFT LIQUOR STORE,424655.23,24785.69
CASH SAVER #33 / DES MOINES,422558.72000000003,32260.899999999994
WAL-MART 1721 / IOWA CITY,418756.8799999999,27654.58
WAL-MART 1764 / WINDSOR HEIGHTS,417974.8399999999,25954.750000000004
FAREWAY STORES #138 / PLEASANT HILL,410529.32,21900.07
HOMETOWN WINE & SPIRITS / OSKALOOSA,410184.1700000001,21860.989999999994
HY-VEE DRUGSTORE / MASON CITY,408964.8500000001,28181.75
LOGAN AVE CONVENIENCE STORE / WATERLOO,403775.26,14049.689999999997
CORK AND BOTTLE / OSKALOOSA,402548.51999999996,22533.54999999999
SUPER QUICK 2 / HUBBELL,402325.4099999999,17820.84999999999
TEQUILA'S LIQUOR STORE,398669.47,12794.63
HY-VEE WINE AND SPIRITS / SHENANDOAH,397261.2900000001,25424.62999999999
PRICE CHOPPER  /  INGERSOLL,396273.82999999996,27909.949999999997
OASIS,395951.17999999993,15567.94999999999
TARGET STORE T-1768 / CEDAR RAPIDS,395633.9099999999,19449.800000000003
821 SQ LIQUOR / DES MOINES,390284.55,15973.609999999999
LIQUOR TOBACCO & GAS,390168.0099999999,12681.669999999998
LIBERTY VIEW WINE & SPIRITS / NORTH LIBERTY,390043.6199999999,16461.170000000002
FAREWAY STORES #925 / ALTOONA,389121.50999999995,22469.19
FAREWAY STORES #384 / BOONE,388569.21,26119.54
UPTOWN LIQUOR & TOBACCO / CEDAR RAPIDS,388152.6199999999,15174.939999999997
HY-VEE FOOD STORE / KNOXVILLE,387339.46,20817.200000000004
LICKETY LIQUOR,386920.3399999999,17629.25999999999
NORTH SIDE LIQUOR & TOBACCO / DUBUQUE,386241.00999999995,18037.82
WAL-MART 2004 / DUBUQUE,382220.5400000001,22524.71
PIT STOP LIQUORS / NEWTON,382021.11000000004,23884.339999999993
FAREWAY STORES #183 / FLEUR,379633.6599999999,22865.889999999996
FAREWAY STORES #933 / URBANDALE,379222.23000000004,23395.970000000005
HY-VEE WINE & SPIRITS #1 / MLK,377676.45999999996,24921.979999999996
WAL-MART 2714 / SPENCER,377614.04,24670.5
BRADY MART FOOD & LIQUOR,377457.06000000006,14595.959999999995
FAREWAY STORES #114 / DUBUQUE,376800.70999999996,25316.109999999997
FAREWAY STORES #124 / ADEL,374794.47,21939.66
FAREWAY STORES #137 / POLK CITY,373544.18000000005,18992.49
