month,total_sales
8,41374068.240004525
10,39688632.58000395
6,38614152.41000433
11,37513438.63000429
9,36622693.610006295
5,35948167.34000424
4,34781761.59000447
7,33792893.14000583
12,33387897.800001852
3,30225874.550002046
2,29474100.93000147
1,27597708.30000294
